genus,abundance,maturity,species
Peptostreptococcus,NA,Immature,uncultured_bacterium
Peptostreptococcus,NA,Immature,NA
Clostridium_sensu_stricto_1,NA,Immature,Clostridium_perfringens
Enterococcus,NA,Immature,NA
Staphylococcus,NA,Immature,NA
Gemella,NA,Immature,NA
Corynebacterium,NA,Immature,NA
Corynebacterium,NA,Immature,Corynebacterium_sp.
Cutibacterium,NA,Immature,NA
Escherichia-Shigella,NA,Immature,NA
Pseudoxanthomonas,NA,Immature,Pseudoxanthomonas_taiwanensis
Campylobacter,NA,Immature,NA
Prevotella,NA,Immature,Gibbons
Prevotella,0.146793075,Mature,Gibbons
Erysipelatoclostridiaceae_UCG-004,NA,Immature,Gibbons
Erysipelatoclostridiaceae_UCG-004,0.113625989,Mature,Gibbons
Alloprevotella,NA,Immature,Gibbons
Alloprevotella,0.090844414,Mature,Gibbons
Prevotellaceae_UCG-001,NA,Immature,Gibbons
Prevotellaceae_UCG-001,0.073911983,Mature,Gibbons
Unassigned Prevotellaceae,NA,Immature,Gibbons
Unassigned Prevotellaceae,0.05621682,Mature,Gibbons
Rikenellaceae_RC9_gut_group,NA,Immature,Gibbons
Rikenellaceae_RC9_gut_group,0.054200419,Mature,Gibbons
Asteroleplasma,NA,Immature,Gibbons
Asteroleplasma,0.053767825,Mature,Gibbons
Muribaculaceae,NA,Immature,Gibbons
Muribaculaceae,0.052794557,Mature,Gibbons
Lachnospiraceae_NK3A20_group,NA,Immature,Gibbons
Lachnospiraceae_NK3A20_group,0.045617081,Mature,Gibbons
Atopobium,NA,Immature,Gibbons
Atopobium,0.03234932,Mature,Gibbons
Unassigned Lachnospiraceae,NA,Immature,Gibbons
Unassigned Lachnospiraceae,0.030625065,Mature,Gibbons
Uncultured,NA,Immature,Gibbons
Uncultured,0.02304207,Mature,Gibbons
Roseburia,NA,Immature,Gibbons
Roseburia,0.020069936,Mature,Gibbons
Lachnospira,NA,Immature,Gibbons
Lachnospira,0.019407397,Mature,Gibbons
Uncultured Coriobacteriales,NA,Immature,Gibbons
Uncultured Coriobacteriales,0.015695857,Mature,Gibbons
Unassigned [Eubacterium]_coprostanoligenes_group,NA,Immature,Gibbons
Unassigned [Eubacterium]_coprostanoligenes_group,0.013811191,Mature,Gibbons
Coprococcus,NA,Immature,Gibbons
Coprococcus,0.013744028,Mature,Gibbons
Clostridia_UCG-014,NA,Immature,Gibbons
Clostridia_UCG-014,0.010879588,Mature,Gibbons
Clostridia_vadinBB60_group,NA,Immature,Gibbons
Clostridia_vadinBB60_group,0.009642132,Mature,Gibbons
Ruminococcus,NA,Immature,Gibbons
Ruminococcus,0.009573479,Mature,Gibbons
Anaeroplasma,NA,Immature,Gibbons
Anaeroplasma,0.007942801,Mature,Gibbons
Succinivibrio,NA,Immature,Gibbons
Succinivibrio,0.007800533,Mature,Gibbons
UCG-010,NA,Immature,Gibbons
UCG-010,0.004653653,Mature,Gibbons
Gastranaerophilales,NA,Immature,Gibbons
Gastranaerophilales,0.004516237,Mature,Gibbons
Solobacterium,NA,Immature,Gibbons
Solobacterium,0.004252821,Mature,Gibbons
Uncultured Bacteroidales,NA,Immature,Gibbons
Uncultured Bacteroidales,0.003967348,Mature,Gibbons
