genus,n_species,mean_diff,median_diff,p_value,p_adj,direction
g__uncultured,1,1.065502659401671,1.065502659401671,NA,NA,Insufficient pairs
endosymbionts6,1,-0.9875894191008987,-0.9875894191008987,NA,NA,Insufficient pairs
g__Muribaculaceae,1,-0.9022659407677716,-0.9022659407677716,NA,NA,Insufficient pairs
g__Gastranaerophilales,1,-0.6779740322654815,-0.6779740322654815,NA,NA,Insufficient pairs
Alcaligenes,1,-0.6271010886523531,-0.6271010886523531,NA,NA,Insufficient pairs
g__Ruminococcus,1,0.6114560559124875,0.6114560559124875,NA,NA,Insufficient pairs
Candidatus Tremblaya,1,-0.5825513178537403,-0.5825513178537403,NA,NA,Insufficient pairs
Ruminococcaceae_UCG-014,1,0.5417648680553027,0.5417648680553027,NA,NA,Insufficient pairs
Rickettsiella,1,0.5107445141831062,0.5107445141831062,NA,NA,Insufficient pairs
Streptomyces,1,-0.4757993071915707,-0.4757993071915707,NA,NA,Insufficient pairs
Providencia,1,0.4367631894152746,0.4367631894152746,NA,NA,Insufficient pairs
g__Parabacteroides,1,0.4264657356810214,0.4264657356810214,NA,NA,Insufficient pairs
Gilliamella,1,-0.4194844309877177,-0.4194844309877177,NA,NA,Insufficient pairs
Pragia,1,0.41038768697945605,0.41038768697945605,NA,NA,Insufficient pairs
Delftia,1,-0.4103603592735574,-0.4103603592735574,NA,NA,Insufficient pairs
Leifsonia,1,0.3972903522558284,0.3972903522558284,NA,NA,Insufficient pairs
g__Bacteroides,1,-0.39159498486437405,-0.39159498486437405,NA,NA,Insufficient pairs
Incertae Sedis,1,0.3859294555587307,0.3859294555587307,NA,NA,Insufficient pairs
Bifidobacterium,1,0.37902335888001204,0.37902335888001204,NA,NA,Insufficient pairs
Pararhodospirillum,1,0.37235603443407417,0.37235603443407417,NA,NA,Insufficient pairs
Kineococcus,1,0.35866368068933774,0.35866368068933774,NA,NA,Insufficient pairs
Tsukamurella,1,-0.35522991658255787,-0.35522991658255787,NA,NA,Insufficient pairs
Staphylococcus,1,-0.35051431134253663,-0.35051431134253663,NA,NA,Insufficient pairs
Fructobacillus,1,0.34220395296491324,0.34220395296491324,NA,NA,Insufficient pairs
Arthrobacter,1,-0.3399801053834226,-0.3399801053834226,NA,NA,Insufficient pairs
Lachnospiraceae UCG-007,1,0.33335525527089427,0.33335525527089427,NA,NA,Insufficient pairs
Sporosarcina,1,0.32697162672447355,0.32697162672447355,NA,NA,Insufficient pairs
Terrisporobacter,1,-0.31055002061646597,-0.31055002061646597,NA,NA,Insufficient pairs
Robinsoniella,1,0.30926896859620356,0.30926896859620356,NA,NA,Insufficient pairs
Bartonella,1,-0.302978120793264,-0.302978120793264,NA,NA,Insufficient pairs
Rhodococcus,1,-0.29851702719897455,-0.29851702719897455,NA,NA,Insufficient pairs
Pelagibacterium,1,-0.28040976897979597,-0.28040976897979597,NA,NA,Insufficient pairs
Alloprevotella,1,0.2659586017827591,0.2659586017827591,NA,NA,Insufficient pairs
Ambiguous_taxa,1,-0.26130203826049314,-0.26130203826049314,NA,NA,Insufficient pairs
Williamsia,1,-0.2610434209601049,-0.2610434209601049,NA,NA,Insufficient pairs
Coprococcus_3,1,0.25402379350958526,0.25402379350958526,NA,NA,Insufficient pairs
Proteus,1,0.2532899386135634,0.2532899386135634,NA,NA,Insufficient pairs
Collinsella,1,-0.2504610093362394,-0.2504610093362394,NA,NA,Insufficient pairs
Carnobacterium,1,0.24511117908136448,0.24511117908136448,NA,NA,Insufficient pairs
Lysobacter,1,-0.24235232531540385,-0.24235232531540385,NA,NA,Insufficient pairs
Pantoea,1,-0.23869599765098037,-0.23869599765098037,NA,NA,Insufficient pairs
Clostridium sensu stricto 1,1,0.23648821289484356,0.23648821289484356,NA,NA,Insufficient pairs
Escherichia/Shigella,1,-0.23478643183733672,-0.23478643183733672,NA,NA,Insufficient pairs
Peptostreptococcaceae,1,0.23315361863748363,0.23315361863748363,NA,NA,Insufficient pairs
Sphingomonas,1,0.23233147001954269,0.23233147001954269,NA,NA,Insufficient pairs
Bacillus,1,-0.23086421368657062,-0.23086421368657062,NA,NA,Insufficient pairs
Ochrobactrum,1,0.22773120834616334,0.22773120834616334,NA,NA,Insufficient pairs
Prevotellaceae_UCG-003,1,0.22282937514268308,0.22282937514268308,NA,NA,Insufficient pairs
g__Colidextribacter,1,0.20400126404948127,0.20400126404948127,NA,NA,Insufficient pairs
Methanobrevibacter,1,-0.20244175316567237,-0.20244175316567237,NA,NA,Insufficient pairs
Morganella,1,-0.18213393309415205,-0.18213393309415205,NA,NA,Insufficient pairs
Candidatus Vestibaculum,1,0.17616006638107518,0.17616006638107518,NA,NA,Insufficient pairs
Bacillales_unclass,1,0.16935082957827507,0.16935082957827507,NA,NA,Insufficient pairs
Ruminococcaceae,1,0.16933497765746575,0.16933497765746575,NA,NA,Insufficient pairs
Acinetobacter,1,-0.16764911102564684,-0.16764911102564684,NA,NA,Insufficient pairs
