"Genus","Immature","Mature"
"Acinetobacter",0.00454775506934507,0.00309102816752174
"Alloprevotella",0.0108650929759213,0.0200451981336364
"Anaeroplasma",0.00397792026682105,0.00316156724247999
"Arthrobacter",0.00834908116413791,0.0038158983269253
"Bacillales_unclass",0.00455321674476862,0.00672511866945006
"Bacteroides",0.0196838782264848,0.0256207364810682
"Bifidobacterium",0.00255606409822277,0.00611919096698447
"Blautia",0.00512669266424168,0.00614339265797432
"Cand_Arthromitus",0.00383227558885964,NA
"Carnobacterium",0.00588404498964102,0.0103471083258834
"Cetobacterium",0.00582214600150742,0.00815596986358215
"Christensenellaceae_R-7",0.00183148182536475,NA
"Clostridiaceae_1",0.022132529374711,0.0235730373092678
"Clostridiales_XIII",0.0119628897360554,0.0144324718220007
"Clostridiales_unclass",0.0872029303709206,0.0696725363637786
"Clostridium_ss1",0.095402725740148,0.0713412724717866
"Clostridium_ss7",0.0164196168816746,0.019597171707751
"Collinsella",0.00802684231414829,0.00450859794586672
"Coprococcus_3",0.00338077708717926,0.00606872158699342
"Coriobacteriales_unclass",0.017282561598596,0.0123419769771084
"Desemzia",0.00826897659125913,NA
"Eggerthellaceae",0.00178414730502729,0.00200608406900079
"Enterococcus",0.0549699425795857,0.0423780463509605
"Erysipelotrichaceae",0.0286501287134841,0.0268650575690346
"Escherichia/Shigella",0.00369209258632178,0.0021498185020747
"Faecalitalea",0.0111654851242167,0.0114730772420579
"Fusobacterium",0.0411282364978281,0.03597640394157
"Hathewaya",0.00764816615144862,0.0109491991748994
"Lachnospiraceae",0.118106910475858,0.141956199071304
"Lactobacillus",0.0041381294125786,0.0103214309220283
"Lysinibacillus",0.00219377296179376,NA
"Methanobrevibacter",0.00735869735400031,0.00461662012760194
"Methanosphaera",0.00187335467027865,NA
"Micrococcaceae",0.0489038417424929,0.0506181318478611
"Mogibacterium",0.00285281512956915,0.00279057302815985
"Paeniclostridium",0.0316649735472854,0.0251343415206867
"Peptoclostridium",0.0606173149675394,0.0428378784797678
"Peptococcus",0.00652306101419672,0.0062806339544412
"Peptoniphilus",0.054685935457561,0.0557527271911606
"Peptostreptococcaceae",0.00364111694903529,0.00622927914673102
"Peptostreptococcus",0.00684894098113537,0.00925035852444061
"Planococcaceae",0.040090518167353,0.0386078951228575
"Prevotellaceae_UCG-003",0.00513215433966524,0.00857359660444373
"Romboutsia",0.0038286344719106,0.0025801363735773
"Ruminococcaceae",0.00265983593127028,0.00392864278982927
"Ruminococcaceae_UCG-005",0.00205176940078138,0.00197066696023515
"Ruminococcaceae_UCG-014",0.00487909671170728,0.0169889967897342
"Rummeliibacillus",0.00225749250840188,NA
"Slackia",0.00890981317428934,0.0106457926098071
"Solibacillus",0.00435659642952072,0.00561921944824277
"Sporosarcina",0.00390327736936583,0.00828819373630723
"Streptococcus",0.0182456370316158,0.0129735820834291
"Terrisporobacter",0.00511941043034361,0.00250369444715812
"Tyzzerella_3",0.00211913006433854,0.00236350172496077
"Gallicola",NA,0.00319521349580735
"Holdemanella",NA,0.00301458624110256
"Kurthia",NA,0.0032105609096058
"Mycoplasmataceae",NA,0.00212709252395008
"Olsenella",NA,0.00202231691051838
"Rikenellaceae_RC9_gut",NA,0.00301576681139475
