"Genus","Immature","Mature"
"",0.220809622527603,0.250537194512684
"1174-901-12",0.00087670989335546,0.000690964353048029
"Achromobacter",0.00171876053207181,NA
"Actinomycetospora",0.00232790980999664,0.0019693388106895
"Actinoplanes",0.00186998084689852,0.00151050399870986
"Akkermansia",0.00826487088066296,0.00868398256855081
"Alcaligenes",0.00309497577678675,0.000729628258511584
"Alistipes",0.001744147884196,0.00150845848269101
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00951356067253377,0.00673495280976281
"Amaricoccus",0.000784800320013093,0.000988678251470991
"Ambiguous_taxa",0.00288481265311517,0.0015801245974945
"Amnibacterium",0.00126465806842429,0.00168411717081027
"Arsenophonus",0.0166407838319213,0.0143433409595771
"Aureimonas",0.014872720326159,0.0131404131686669
"Bacillus",0.00332250532104183,0.00195213455988805
"Bacteroides",0.00467480494419051,0.0052539626850393
"Bartonella",0.0176404568133913,0.00878024966618822
"Blastocatella",0.000712317590035324,NA
"Blastopirellula",0.0007108458594774,NA
"Brachybacterium",0.000982748080053901,0.000960205399029951
"Brevibacterium",0.000951473805698011,NA
"Candidatus Arthromitus",0.00739419508259499,0.00807914905072533
"Candidatus Soleaferrea",0.00446633431066054,0.00530805927832368
"Candidatus Tremblaya",0.00513148293631439,0.00134107317632659
"Candidatus Vestibaculum",0.000860668030274086,0.0012917068388358
"Catellicoccus",0.0141725445132266,0.0152034621819702
"Cellulomonas",0.00155937211264861,0.00157004312568728
"Christensenellaceae R-7 group",0.000730934981593066,0.00106449018891984
"Clostridium sensu stricto 1",0.00281586207647642,0.00485472179064472
"Corynebacterium 1",0.00619598564886098,0.00520678797185443
"Curtobacterium",0.00205806801220123,0.00175662340826436
"Delftia",0.00208073266279327,0.000808216253414596
"Desulfovibrio",0.00427427347285143,0.00527639030710318
"Devosia",0.00173700999099007,0.00217920510151695
"Dysgonomonas",0.00311212143778656,0.00213347320766681
"Enterococcus",0.065199209033129,0.0722762082196504
"Escherichia-Shigella",0.0141506893144414,0.0162826727808115
"Fimbriiglobus",0.00164789670570775,0.00161740047423097
"Friedmanniella",0.00324465077452764,0.00321876556395699
"Fructobacillus",0.000955741824315991,0.00210277220384809
"Gemmata",0.00267163248179984,0.00268952482114976
"Geodermatophilus",0.00112992113584632,0.00102664814257101
"Gilliamella",0.00874237386018148,0.00332708659527694
"Gordonia",0.00790142701938357,0.00547328948745395
"Incertae Sedis",0.00113705902905226,0.00276654215196686
"Kineococcus",0.000719749829352842,0.00164506973109318
"Kineosporia",0.000652050223688327,NA
"Kocuria",0.00678600242953281,0.00578216240630121
"Lachnoclostridium",0.00456677992123887,0.00475777894217965
"Lachnospiraceae UCG-007",0.000720412108103908,0.00155331372681878
"Lactobacillus",0.0203117213625517,0.00904125385748707
"Lactococcus",0.105383266600164,0.115939409623897
"Leifsonia",0.000860447270690398,0.00214939901095648
"Leucobacter",0.000708343917528929,0.000864723633435493
"Lysobacter",0.00120630395180259,0.000689978122110366
"Marmoricola",0.00152051842591941,0.00182956797057964
"Methylobacterium",0.0145772704166558,0.0132474374889391
"Microbacterium",0.00575431930842792,0.006609646690072
"Microlunatus",0.000962070265715065,0.000904081553262589
"Morganella",0.00774328957093462,0.00509052230242553
"Mycobacterium",0.00711184357505723,0.00722892666478065
"Nakamurella",0.000983778291444448,0.000874385043917412
"Nocardia",0.000677069643173039,NA
"Nocardioides",0.00388691399000577,0.00342802915810031
"Ochrobactrum",0.00444197716992689,0.00750494348257503
"Paenibacillus",0.000777147321111887,NA
"Paeniclostridium",0.011051960624732,NA
"Pantoea",0.0496522889383848,0.0286574054711344
"Parabacteroides",0.0156905609971975,0.0157804438075747
"Paraclostridium",0.000877151412522838,NA
"Paracoccus",0.00765859147732608,0.00668481940376495
"Pararhodospirillum",0.00527872957863471,0.0124432209498828
"Pelagibacterium",0.00137584731207546,0.000720898288359681
"Phascolarctobacterium",0.00162479053594834,0.00159258032896646
