sampleID,type,hyenaID,mat,gen,hyenaID2,birthdate,age_yrs,sample_date,year,ideal_order
P112,sample,nav,3,D,D3,07-Nov-92,Immature,13-Apr-95,1995,169
P195,sample,adon,1,G,G1,20-Mar-01,Immature,18-Sep-03,2003,48
P1,sample,ffl,2,D,D2,28-Jun-03,Immature,21-Jan-06,2006,114
P245,sample,nav,3,D,D3,07-Nov-92,Immature,26-May-95,1995,170
P298,sample,bail,4,D,D4,04-Jan-92,Immature,12-Sep-94,1994,251
P48,sample,mrph,1,D,D1,25-Jun-96,Immature,09-Mar-99,1999,14
P199,sample,mrph,1,D,D1,25-Jun-96,Immature,19-Apr-99,1999,15
P68,sample,ffl,2,D,D2,28-Jun-03,Immature,02-Apr-06,2006,115
P52,sample,tilt,2,G,G2,20-Jul-08,Immature,08-Jun-11,2011,138
P119,sample,bail,4,D,D4,04-Jan-92,Immature,10-Dec-94,1994,252
P164,sample,ffl,2,D,D2,28-Jun-03,Immature,05-Jun-06,2006,116
P51,sample,adon,1,G,G1,20-Mar-01,Immature,21-Feb-04,2004,49
P118,sample,hex,4,G,G4,04-Mar-03,Immature,13-Mar-06,2006,278
P73,sample,bail,4,D,D4,04-Jan-92,Immature,03-Feb-95,1995,253
P233,sample,mrph,1,D,D1,25-Jun-96,Immature,15-Aug-99,1999,16
P3,sample,mrph,1,D,D1,25-Jun-96,Immature,15-Sep-99,1999,17
P234,sample,mrph,1,D,D1,25-Jun-96,Immature,22-Oct-99,1999,20
P300,sample,mrph,1,D,D1,25-Jun-96,Immature,26-Sep-99,1999,18
P36,sample,mrph,1,D,D1,25-Jun-96,Immature,30-Sep-99,1999,19
P50,sample,mp,2,M,M2,23-Jul-94,Immature,02-Nov-97,1997,81
P284,sample,adon,1,G,G1,20-Mar-01,Immature,29-Jul-04,2004,50
P268,sample,mrph,1,D,D1,25-Jun-96,Immature,20-Dec-99,1999,21
P63,sample,tilt,2,G,G2,20-Jul-08,Immature,23-Dec-11,2011,139
P147,sample,ffl,2,D,D2,28-Jun-03,Immature,26-Jan-07,2007,117
P214,sample,adon,1,G,G1,20-Mar-01,Immature,05-Oct-04,2004,51
P295,sample,mrph,1,D,D1,25-Jun-96,Immature,06-Jan-00,2000,22
P47,sample,mrph,1,D,D1,25-Jun-96,Immature,10-Jan-00,2000,23
P11,sample,adon,1,G,G1,20-Mar-01,Immature,26-Oct-04,2004,52
P38,sample,mp,2,M,M2,23-Jul-94,Immature,22-Apr-98,1998,82
P105,sample,bail,4,D,D4,04-Jan-92,Immature,15-Oct-95,1995,254
P167,sample,mrph,1,D,D1,25-Jun-96,Immature,27-Apr-00,2000,24
P283,sample,roos,3,G,G3,02-Mar-07,Immature,26-Jan-11,2011,218
P62,sample,adon,1,G,G1,20-Mar-01,Immature,05-Feb-05,2005,53
P76,sample,roos,3,G,G3,02-Mar-07,Immature,11-Jan-11,2011,217
P107,sample,mrph,1,D,D1,25-Jun-96,Immature,05-Jun-00,2000,25
P114,sample,adon,1,G,G1,20-Mar-01,Immature,02-Mar-05,2005,54
P209,sample,ffl,2,D,D2,28-Jun-03,Immature,28-May-07,2007,118
P280,sample,ffl,2,D,D2,28-Jun-03,Immature,29-May-07,2007,119
P102,sample,mrph,1,D,D1,25-Jun-96,Mature,21-Jul-00,2000,26
P207,sample,adon,1,G,G1,20-Mar-01,Mature,30-Mar-05,2005,55
P45,sample,nav,3,D,D3,07-Nov-92,Mature,21-Dec-96,1996,171
P86,sample,bail,4,D,D4,04-Jan-92,Mature,01-Mar-96,1996,255
P162,sample,tilt,2,G,G2,20-Jul-08,Mature,27-Sep-12,2012,140
P8,sample,roos,3,G,G3,02-Mar-07,Mature,22-Jun-11,2011,219
P2,sample,nav,3,D,D3,07-Nov-92,Mature,17-Mar-97,1997,172
P93,sample,roos,3,G,G3,02-Mar-07,Mature,09-Jul-11,2011,220
