# Constructed from biom file
#OTU ID	Cleland-R10	Cleland-R11	Cleland-R12	Cleland-R13	Cleland-R14	Cleland-R15	Cleland-R16	Cleland-R17	Cleland-R18	Cleland-R19	Cleland-R1	Cleland-R20	Cleland-R21	Cleland-R22	Cleland-R23	Cleland-R24	Cleland-R28	Cleland-R29	Cleland-R2	Cleland-R30	Cleland-R31	Cleland-R32	Cleland-R33	Cleland-R34	Cleland-R35	Cleland-R36	Cleland-R37	Cleland-R38	Cleland-R39	Cleland-R3	Cleland-R40	Cleland-R41	Cleland-R42	Cleland-R43	Cleland-R44	Cleland-R45	Cleland-R46	Cleland-R47	Cleland-R48	Cleland-R49	Cleland-R4	Cleland-R50	Cleland-R51	Cleland-R52	Cleland-R53	Cleland-R54	Cleland-R55	Cleland-R56	Cleland-R57	Cleland-R58	Cleland-R59	Cleland-R5	Cleland-R6	Cleland-R7	Cleland-R8	Cleland-R9	sample-17	sample-18	sample-22	sample-24	sample-27	sample-2	sample-31	sample-34	sample-35	sample-39	sample-42	sample-46	sample-49	sample-4	sample-50	sample-53	sample-56	sample-57	sample-61	sample-64	sample-66	sample-70	sample-8	sample-9
3291f0c568ad018328838dfe9d7aaf5e	12963.0	9696.0	38389.0	5561.0	6120.0	7394.0	22292.0	0.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	28.0	0.0	8.0	21.0	5.0	6.0	5.0	14.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	5.0	2.0	0.0	2.0	12.0	11.0	9.0	30.0	17.0	0.0	0.0	16120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
593a5c45dd38f6d9ec369b9b2679997f	7096.0	21088.0	7825.0	15624.0	10443.0	7096.0	11604.0	21113.0	36319.0	29301.0	21818.0	19417.0	36136.0	21349.0	27194.0	116178.0	486.0	618.0	21701.0	441.0	330.0	373.0	635.0	529.0	615.0	13621.0	17220.0	18645.0	5376.0	24659.0	8974.0	22893.0	10312.0	14120.0	19412.0	11415.0	6519.0	70323.0	22268.0	27708.0	19766.0	12603.0	16758.0	67.0	120.0	889.0	40.0	4447.0	174.0	8148.0	6410.0	17254.0	35544.0	33031.0	42574.0	14160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28831.0	25801.0	0.0	0.0	0.0	321.0	677.0	0.0	22021.0	0.0	21054.0	0.0	0.0	19991.0	0.0
3b56612c99737392942e9ac9ee68008d	2576.0	1372.0	1428.0	6966.0	10050.0	4970.0	3833.0	158.0	40.0	5.0	196.0	3.0	6.0	44.0	5.0	289.0	0.0	22.0	44.0	2.0	11.0	9.0	4.0	23.0	4.0	0.0	7.0	2.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	532.0	15.0	122.0	690.0	557.0	1665.0	914.0	189.0	141.0	403.0	577.0	257.0	289.0	5144.0	259.0	3418.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c3fed37327a53ec3e61ff95c0af0b5d2	1778.0	4350.0	1599.0	2287.0	3030.0	955.0	1824.0	0.0	1.0	2.0	0.0	2.0	2.0	6.0	2.0	27.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	3.0	2.0	6.0	0.0	3.0	0.0	1102.0	386.0	194.0	2668.0	1141.0	1940.0	2.0	501.0	957.0	2.0	4.0	0.0	0.0	0.0	0.0	3.0	4.0	5.0	8.0	0.0	2.0	2207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5ed7d05f693de69b7756f7d0d52346c8	1628.0	3927.0	905.0	609.0	1187.0	519.0	1149.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	4.0	0.0	0.0	2662.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49c542c87637c6ddd6123738efa16f49	1350.0	120.0	362.0	199.0	5965.0	953.0	961.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	27.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	642.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9adb113a7a89f7c852f96ad6c5123ae6	1298.0	169.0	1008.0	1552.0	1849.0	3053.0	888.0	486.0	49.0	42.0	18.0	63.0	1101.0	884.0	48.0	10271.0	0.0	25.0	16.0	9.0	15.0	11.0	0.0	251.0	8.0	950.0	72.0	281.0	17480.0	502.0	17826.0	246.0	6426.0	551.0	19373.0	7238.0	1013.0	2590.0	20257.0	7640.0	118.0	20790.0	15983.0	374.0	48.0	27.0	43.0	119.0	643.0	59.0	423.0	149.0	29.0	2072.0	334.0	1463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6a8d2a575083e4098603340cce71ed6b	1289.0	1751.0	632.0	1961.0	506.0	1654.0	1720.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	2266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c6982201869c1a88b67b3be4c4497297	1230.0	661.0	253.0	567.0	1558.0	680.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1375.0	919.0	652.0	598.0	244.0	2834.0	655.0	418.0	0.0	0.0	0.0	0.0	738.0	16957.0	9.0	0.0	11.0	0.0	0.0	22741.0	0.0	0.0	0.0	0.0	12.0	25325.0	0.0	4.0	2.0	12108.0	0.0	0.0	0.0	4470.0	0.0	0.0	5.0
cfb20a363c0cb6b5c0c52daa8ad49d83	1089.0	6.0	556.0	423.0	1008.0	872.0	531.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	364.0	0.0	0.0	5.0	3.0	0.0	0.0	2.0	0.0	0.0	275.0	1515.0	2.0	4.0	0.0	0.0	0.0	2.0	218.0	0.0	1232.0	0.0	0.0	5671.0	0.0
97dd25ee6ec328e03ec7384e3d2dde04	857.0	280.0	595.0	2309.0	1239.0	2718.0	643.0	1113.0	588.0	633.0	156.0	874.0	1669.0	1548.0	605.0	4101.0	0.0	7.0	101.0	0.0	0.0	0.0	0.0	10.0	1.0	175.0	11.0	344.0	824.0	140.0	1039.0	122.0	777.0	82.0	435.0	411.0	116.0	311.0	191.0	249.0	84.0	348.0	445.0	869.0	693.0	319.0	665.0	1798.0	1536.0	1328.0	1179.0	224.0	66.0	217.0	118.0	867.0	8.0	0.0	24.0	0.0	0.0	2.0	18.0	0.0	8.0	267.0	1153.0	0.0	2.0	0.0	2.0	0.0	11.0	993.0	0.0	230.0	2.0	41.0	1582.0	0.0
