"Domain","Phylum","Class","Order","Family","Genus","Species"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales",NA,NA,NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae",NA,NA
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae",NA,NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_rumen"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__Candidatus_Gastranaerophilales"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__Acinetobacter_sp."
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_rumen"
"d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","g__uncultured","s__uncultured_bacterium"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Bilophila",NA
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured","s__uncultured_delta"
"d__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__Desulfovibrionaceae","g__uncultured",NA
