sample.id,BirdID,TubeNumber,OriginalSampleIDUnique,FieldPeriodID,Season,SequencingRun,CatchID,OccasionID,BTO,FieldRing,CatchTerritoryID,SampleDate,SampleYear,FreezerDate3,TimeAt4Degrees,SampleType,SampleType4Way,ExtractionDate,Qubit,BirthDate,SexEstimate,SampleTime,MinutesSinceSunrise,Ageclass,AgeDays,AgeYears,EyeColour,BreedTerritoryNumber,BreedTerritoryID,BreedGroupID,Status,TQcorrected,averageTQ_SameType,TQnotes_SameType,TQFinal_SameType,FieldPeriodID_LastSeen,LastPeriodSeenDate,LastBreedYearSeen,DaysToLastSeen,DiedEver,BirthDateEstimated,SampleReads,is.negLab,is.negCollection
Sample.10.15,6370,15,15,164,Major,1,NA,13526,L921259,OR/BX,71,07/07/2017,2017,25/09/2017,80,Faecal,Faecal,22/01/2018,0.0608,17/07/2014,1,11:00,300,Mature,1086,2.973,,50,71,7733,BrM,16628.27,NA,NA,16628.27,176,30/09/2021,2021,1546,yes,TRUE,79736,FALSE,FALSE
Sample.100.113,6787,113,113,164,Major,1,10260,13660,Z691377,BW/EX,127,12/09/2017,2017,25/09/2017,13,Faecal,Faecal,26/01/2018,0.399,02/09/2017,0,16:57,657,Mature,10,0.027,G,87,127,7762,Mature,53864.28,NA,NA,53864.28,171,09/03/2019,2019,543,yes,TRUE,101669,FALSE,FALSE
Sample.101.114,6745,114,114,164,Major,1,10249,13639,Z691343,BL/WX,616,11/09/2017,2017,25/09/2017,14,Faecal,Faecal,26/01/2018,0.0692,19/06/2017,1,11:45,345,Immature,84,0.23,G,1,1,7739,Immature,40442.14,NA,NA,40442.14,184,27/03/2023,2023,2023,no,FALSE,53920,FALSE,FALSE
Sample.103.116,6567,116,116,164,Major,1,10241,13643,Z691105,NY/WX,165,10/09/2017,2017,25/09/2017,15,Faecal,Faecal,26/01/2018,NA,22/05/2015,1,16:55,655,Mature,842,2.305,RB,108,165,7783,BrM,29038.84,NA,NA,29038.84,174,16/03/2020,2020,918,yes,FALSE,41341,FALSE,FALSE
Sample.104.117,5634,117,117,164,Major,1,10240,13640,V267590,YR/KX,165,10/09/2017,2017,25/09/2017,15,Faecal,Faecal,26/01/2018,20,14/12/2010,0,16:37,637,Mature,2462,6.741,RB,108,165,7783,BrF,29038.84,NA,NA,29038.84,164,20/09/2017,2017,10,yes,TRUE,51688,FALSE,FALSE
Sample.105.118,6229,118,118,164,Major,1,10245,13639,L921252,NW/NX,13,11/09/2017,2017,25/09/2017,14,Faecal,Faecal,26/01/2018,0.0608,05/07/2014,0,7:49,109,Mature,1164,3.187,RB,8,13,7810,BrF,57927.65,NA,NA,57927.65,174,16/03/2020,2020,917,yes,FALSE,28482,FALSE,FALSE
Sample.106.119,6229,119,119,164,Major,1,10245,13639,L921252,NW/NX,13,11/09/2017,2017,25/09/2017,14,Faecal,Faecal,15/01/2018,0.342,05/07/2014,0,7:49,109,Mature,1164,3.187,RB,8,13,7810,BrF,57927.65,NA,NA,57927.65,174,16/03/2020,2020,917,yes,FALSE,50029,FALSE,FALSE
Sample.107.120,6704,120,120,164,Major,1,10243,13640,Z691316,GO/YX,165,10/09/2017,2017,25/09/2017,15,Faecal,Faecal,26/01/2018,0.056,22/05/2016,0,16:21,621,Mature,476,1.303,LB,108,165,7783,H,29038.84,NA,NA,29038.84,184,27/03/2023,2023,2024,no,TRUE,56446,FALSE,FALSE
Sample.109.122,6169,122,122,164,Major,1,10250,13659,L921300,BR/WX,140,13/09/2017,2017,25/09/2017,12,Faecal,Faecal,26/01/2018,0.0748,11/03/2014,0,9:15,195,Mature,1282,3.51,RB,94.2,140,7773,BrF,28077.51,NA,NA,28077.51,173,23/09/2019,2019,740,yes,TRUE,74385,FALSE,FALSE
Sample.11.16,6733,16,16,164,Major,1,10149,13516,Z691328,VY/YX,407,11/07/2017,2017,25/09/2017,76,Faecal,Faecal,23/01/2018,0.0568,17/05/2017,0,10:57,297,Immature,55,0.151,G,126,407,7744,Immature,64993.92,NA,NA,64993.92,178,14/09/2022,2022,1891,yes,FALSE,45529,FALSE,FALSE
Sample.110.123,6044,123,123,164,Major,1,10258,13657,L921065,RO/KX,85,11/09/2017,2017,25/09/2017,14,Faecal,Faecal,26/01/2018,0.25,15/05/2013,0,15:37,577,Mature,1580,4.326,RB,57.1,85,7803,BrF,61245.87,NA,NA,61245.87,184,27/03/2023,2023,2023,no,TRUE,52758,FALSE,FALSE
Sample.111.124,6169,124,124,164,Major,1,10250,13659,L921300,BR/WX,140,13/09/2017,2017,25/09/2017,12,Faecal,Faecal,15/01/2018,0.0764,11/03/2014,0,9:15,195,Mature,1282,3.51,RB,94.2,140,7773,BrF,28077.51,NA,NA,28077.51,173,23/09/2019,2019,740,yes,TRUE,43156,FALSE,FALSE
Sample.112.125,6777,125,125,164,Major,1,10231,13639,Z691376,VV/EX,616,11/09/2017,2017,25/09/2017,14,Faecal,Faecal,26/01/2018,0.78,18/07/2017,1,11:42,342,Immature,55,0.151,G,1.2,616,7801,Immature,19532.27,NA,NA,19532.27,174,16/03/2020,2020,917,yes,TRUE,78333,FALSE,FALSE
Sample.113.126,6011,126,126,164,Major,1,10259,13660,L921037,EG/KX,43,12/09/2017,2017,25/09/2017,13,Faecal,Faecal,26/01/2018,0.0628,08/11/2012,1,7:20,80,Mature,1769,4.843,RB,30.2,43,7808,BrM,68848.73,NA,NA,68848.73,176,30/09/2021,2021,1479,yes,TRUE,45718,FALSE,FALSE
Sample.114.127,6786,127,127,164,Major,1,10255,13659,Z691379,EN/WX,140,13/09/2017,2017,25/09/2017,12,Faecal,Faecal,26/01/2018,0.066,20/07/2017,1,10:30,270,Immature,55,0.151,G,94.2,140,7773,Immature,28077.51,NA,NA,28077.51,173,23/09/2019,2019,740,yes,TRUE,77746,FALSE,FALSE
Sample.116.131,6788,131,131,164,Major,1,10261,13662,Z691405,BE/NX,167,12/09/2017,2017,25/09/2017,13,Faecal,Faecal,26/01/2018,0.0248,12/12/2016,1,17:17,677,Mature,274,0.75,LB,110,167,7842,BrM,32175.18,NA,NA,32175.18,176,30/09/2021,2021,1479,yes,TRUE,79981,FALSE,FALSE
Sample.117.133,4965,133,133,164,Major,1,10257,13660,R737964,OB/XZ,127,12/09/2017,2017,25/09/2017,13,Faecal,Faecal,26/01/2018,NA,20/10/2006,0,17:15,675,Mature,3980,10.897,RB,87,127,7762,BrF,53864.28,NA,NA,53864.28,173,23/09/2019,2019,741,yes,TRUE,67970,FALSE,FALSE
Sample.118.134,5545,134,134,164,Major,1,10253,13659,V267500,EW/UX,177,13/09/2017,2017,25/09/2017,12,Faecal,Faecal,26/01/2018,0.656,03/08/2010,0,12:15,375,Mature,2598,7.113,RB,120,177,7772,BrF,32073.94,NA,NA,32073.94,178,14/09/2022,2022,1827,yes,FALSE,70703,FALSE,FALSE
Sample.119.135,6785,135,135,164,Major,1,10254,13659,Z691378,VE/VX,140,13/09/2017,2017,25/09/2017,12,Faecal,Faecal,26/01/2018,0.0232,13/12/2016,1,10:20,260,Mature,274,0.75,LB,94.2,140,7773,SEEN1,28077.51,NA,NA,28077.51,178,14/09/2022,2022,1827,yes,TRUE,93711,FALSE,FALSE
Sample.12.17,6735,17,17,164,Major,1,10151,13518,Z691330,VO/NX,177,20/07/2017,2017,25/09/2017,67,Faecal,Faecal,22/01/2018,0.034,19/07/2016,0,15:25,565,Mature,366,1.002,RB,120,177,7772,H,32073.94,NA,NA,32073.94,184,27/03/2023,2023,2076,no,FALSE,48120,FALSE,FALSE
Sample.120.91,6762,91,91,164,Major,1,10197,13609,Z691362,OW/WX,172,02/09/2017,2017,25/09/2017,23,Faecal,Faecal,26/01/2018,NA,01/09/2016,1,10:08,248,Mature,366,1.002,RB,123,172,7767,SEEN1,40913.79,NA,NA,40913.79,178,14/09/2022,2022,1838,yes,FALSE,71889,FALSE,FALSE
Sample.14.19,6727,19,19,164,Major,1,10143,13515,Z691331,NL/OX,40,27/07/2017,2017,25/09/2017,60,Faecal,Faecal,25/01/2018,0.0776,26/07/2016,0,9:03,183,Mature,366,1.002,RB,29,40,7765,H,50547.64,NA,NA,50547.64,166,14/03/2018,2018,230,yes,FALSE,56207,FALSE,FALSE
Sample.15.20,6735,20,20,164,Major,1,10151,13518,Z691330,VO/NX,177,20/07/2017,2017,25/09/2017,67,Faecal,Faecal,18/12/2017,0.0296,19/07/2016,0,15:25,565,Mature,366,1.002,RB,120,177,7772,H,32073.94,NA,NA,32073.94,184,27/03/2023,2023,2076,no,FALSE,60005,FALSE,FALSE
Sample.16.21,6675,21,21,164,Major,1,10181,13544,Z691143,VV/WX,71,09/08/2017,2017,25/09/2017,47,Faecal,Faecal,17/01/2018,0.0764,14/07/2016,0,9:26,206,Mature,391,1.07,LB,50,71,7733,AB,16628.27,NA,NA,16628.27,164,20/09/2017,2017,42,yes,FALSE,50476,FALSE,FALSE
Sample.17.22,6675,22,22,164,Major,1,10158,13520,Z691143,VV/WX,63,22/07/2017,2017,25/09/2017,65,Faecal,Faecal,22/01/2018,9.76,14/07/2016,0,9:10,190,Mature,373,1.021,LB,50,71,7733,AB,16628.27,NA,NA,16628.27,164,20/09/2017,2017,60,yes,FALSE,73094,FALSE,FALSE
Sample.18.23,6554,23,23,164,Major,1,10186,13546,X784190,LW/EX,58,31/07/2017,2017,25/09/2017,56,Faecal,Faecal,22/01/2018,0.0928,26/09/2015,0,16:38,638,Mature,674,1.845,RB,41.1,58,7749,BrF,43152.92,NA,NA,43152.92,178,14/09/2022,2022,1871,yes,TRUE,48220,FALSE,FALSE
Sample.19.24,6709,24,24,164,Major,1,10162,13523,Z691321,WW/XZ,112,19/07/2017,2017,25/09/2017,68,Faecal,Faecal,23/01/2018,0.126,14/10/2016,1,8:51,171,Mature,278,0.761,LB,78,112,7745,ABX,14117.69,NA,NA,14117.69,184,27/03/2023,2023,2077,no,TRUE,107535,FALSE,FALSE
